UniProt IDs,Clusters,DPC_0h_1,DPC_0h_2,DPC_0h_3,DPC_0h_4,DPC_3h_1,DPC_3h_2,DPC_3h_3,DPC_3h_4,DPC_6h_1,DPC_6h_2,DPC_6h_3,DPC_6h_4,DPC_9h_1,DPC_9h_2,DPC_9h_3,DPC_9h_4,DPC_12h_1,DPC_12h_2,DPC_12h_3,DPC_12h_4,DPC_18h_1,DPC_18h_2,DPC_18h_3,DPC_18h_4,DPC_24h_1,DPC_24h_2,DPC_24h_3,DPC_24h_4,DPC_36h_1,DPC_36h_2,DPC_36h_3,DPC_36h_4
Q5JTV8,51,53970.07031,52727.25391,50873.83203,52789.52344,53618.17188,49681.34375,52354.96875,50071.73438,46406.00781,46408.51172,45965.07813,45781.48047,45552,45942.10156,46322.36328,44312.80469,59296.30078,55443.55859,54404.33984,56327.14844,58446.88281,57737.11719,59047.625,55825.27344,56111.21094,59430.69141,61085.3125,57384.67969,53778.58984,54537.05859,55102.24609,58376.03906
Q5JTW2,37,20823.38477,20320.58789,19960.74219,14682.88477,17295.61914,19108.75586,19021.64844,18438.06445,24240.22266,23435.11133,24126.56641,25966.05859,21305.69922,23826.05469,23301.37305,27133.80859,15864.72266,5557.895996,20820.28711,15324.98242,12119.81934,3258.576904,5146.590332,18468.86914,18446.85156,16140.60059,23703.82031,9304.334961,4815.254883,2621.560791,11411.15234,2169.96582
Q5JVF3,34,19738.17578,18483.42578,17224.02148,18755.80469,16350.43555,19663.06445,19234.82422,19983.06055,15617.7998,19795.66016,18161.20508,17543.24219,15880.2832,17572.5293,17539.94336,20672.50781,14208.73926,16371.18359,18389.39844,19427.93359,15828.30762,16789.39648,15631.34082,17819.12695,15311.73242,15390.87012,15128.65234,15746.43262,15149.90039,14785.12891,16882.96289,15246.76953
Q5JZY3,11,363794.2813,379167.5625,337281.2188,519830.9688,286989.0938,262179.3438,375943.125,289534.0313,372152.5625,459186.9375,127660.6797,386094.3125,424343.6563,141601.2656,205126.6563,53423.44922,563828.4375,96655.72656,28472.32422,64535.60156,120116.2969,84510.45313,38183.94531,96966.67188,140820.1719,87778.875,26346.64063,105639.2344,97805.21875,52230.92969,53424.74609,7942.230957
Q5K4L6,17,51442.46875,61834.91797,15024.42969,31063.04883,41264.19141,15550.01855,39083.25,14143.3125,18693.66406,20694.76172,21882.69336,26237.17578,30340.39258,19230.13477,11660.88965,15989.59375,10121.57129,11475.30957,18370.7793,9797.439453,11508.03027,17667.52734,22573.31055,12204.15039,11529.48047,7554.693848,8836.625977,20480.67969,20213.67188,9083.249023,6112.428711,14762.58301
Q5K651,46,12911.5127,16537.95313,15209.45508,14675.9707,12790.1123,15136.25977,13469.91016,13848.14941,15812.85449,16415.53125,15098.05957,17387.29297,15279.98145,18371.67773,17612.08008,15621.16699,13416.16504,17305.06836,14786.65039,16182.66602,13391.65039,6610.901855,13436.36816,6556.723145,21770.05078,14567.44141,16377.86914,10128.02734,22353.75,24397.4043,9621.612305,22672.26953
Q5M775,33,26027.4082,23727.04883,24909.69141,25422.5918,25682.28125,25376.80469,24851.24609,27004.70313,24760.70117,22769.69531,23872.81055,22580.92578,21253.60938,22932.47656,22930.75977,22689.83203,24687.56836,22741.17578,22894.17578,23071.45117,21813.36133,19485.73633,19302.28711,20037.99414,21283.67578,20742.25781,19457.06445,20609.60352,20319.25,22685.43945,19248.68359,20646.00977
Q5MIZ7,7,23649.35156,25603.72461,21657.75,22951.04492,26195.95703,25592.12695,23325.69141,21505.72266,23455.37891,24616.33789,23710.62891,21717.57813,22151.23242,21997.78516,22789.125,20805.16992,24110.4082,22362.33398,21729.30078,21700.4043,18843.74023,20513.30078,22361.05469,22548.00391,22151.06445,18065.16602,23287.19531,25907.92773,18154.92383,16635.74023,21706.58789,20719.88672
Q5MNZ6,62,13526.06348,14444.9873,15381.55273,12670.72949,13033.41699,12357.79785,9935.795898,8433.908203,10716.47461,3445.562012,2267.359131,3334.048096,11630.80664,14228.83789,13326.00098,10209.37695,13249.95703,13128.37793,12321.06445,16055.5127,5502.003418,14490.75391,5165.969238,13390.84961,2455.37915,9322.924805,14226.24121,4234.565918,15246.51563,12537.33594,9220.105469,12451.20996
Q5QJE6,43,24554.99805,24515.84961,23164.74219,24117.36523,25484.24023,27553.26172,26381.68945,25795.71484,25705.68359,27364.16016,28176.66992,29192.57617,30212.35352,30606.14844,29211.47266,32433.83203,44212.09766,41812.63281,42958.67188,39563.87891,48345.16016,49058.89453,49362.03516,48612.90625,50968.05469,47624.42969,57079.48828,49271.20703,25556.50195,32196.9375,29718.94336,31624.57617
Q5R3I4,3,71555.14844,60598.50781,57777.50781,64413.53125,65361.17578,51175.27734,52477.23047,47776.78125,77481.09375,87175.21094,72786.15625,74414.32813,72616.51563,44280.07031,47187.8125,34913.09375,48222.17188,14135.23145,14010.30566,11737.49121,12595.14941,16659.45117,13651.36523,18218.91602,12164.74902,14791.27148,11909.4248,12921.27832,14550.69629,9854.740234,9648.102539,7585.050781
Q5RKV6,24,34681.5,30143.17383,26363.2207,32520.26953,36029.51563,25736.69336,23081.58789,24587.2793,35307.78906,36225.57813,32788.35547,31334.86133,31966.61523,34077.4375,26879.64453,26369.6875,41079.65234,25786.88867,27335.64258,23483.75781,30316.46094,30499.79492,29225.66406,34672.63281,34353.34375,32384.85352,32407.76172,30034.17969,33742.12891,35873.40625,32464.94727,34090.66406
Q5RL73,1,77346.94531,85622.92188,80158.77344,83577.4375,63822.07813,71563.53906,80003.09375,76827.95313,71714.64063,82316.04688,83943.84375,88409.34375,35756.79297,74859.58594,92980.96875,99040.46875,77793.375,163153.2344,152499.5156,157356.1719,156561.0469,146878.1875,175572.0781,157457.8125,128165.2266,103755.5,118718.8984,156226.7813,5216.109863,35845.85156,206717.2813,67728.3125
Q5SNT2,65,19358.08398,22072.73633,17102.50781,19722.41016,21065.56836,22024.55078,21175.12695,22081.88281,19776.94336,19172.58594,20823.37305,21677.85742,18825.63281,21663.27148,19665.17578,22767.98633,22822.29688,22245.10547,27325.84766,21285.02148,23588.32227,14414.67383,18717.83594,19425.53516,22596.86719,19608.5625,18564.62891,18723.72266,20820.90625,19069.58203,21586.51367,19252.13477
