"","DPC_0h_1","DPC_0h_2","DPC_0h_3","DPC_0h_4","DPC_3h_1","DPC_3h_2","DPC_3h_3","DPC_3h_4","DPC_6h_1","DPC_6h_2","DPC_6h_3","DPC_6h_4","DPC_9h_1","DPC_9h_2","DPC_9h_3","DPC_9h_4","DPC_12h_1","DPC_12h_2","DPC_12h_3","DPC_12h_4","DPC_18h_1","DPC_18h_2","DPC_18h_3","DPC_18h_4","DPC_24h_1","DPC_24h_2","DPC_24h_3","DPC_24h_4","DPC_36h_1","DPC_36h_2","DPC_36h_3","DPC_36h_4"
"Cluster 11",3.23246132919874,2.46961108000013,2.80722468411437,2.85403980057346,3.28051718334053,3.13656169889887,2.919027197875,2.93373695255633,2.24576672615835,2.20406464710468,1.94286472695538,2.44131977273892,2.47156746221065,2.04694273227264,2.02671758082021,1.85570683259183,0.897313457944329,2.60506686481571,0.712108840384899,0.65296904420968,0.643704326852407,0.819689610637951,0.512846688350066,2.40208764016257,0.585820426153002,1.33261082656358,0.929588354567811,0.54786000780596,0.558289122117009,0.480953346239396,0.493556051919292,0.374029545728133
"Cluster 12",1.13681235982924,1.14885567593613,1.14734905065332,1.16983946526518,1.09060061294642,1.06434239953548,1.06240408431931,1.02856727250743,1.32016898075097,1.32154960517063,1.27367839207886,1.29543871398169,1.21924515774643,1.16073275477906,1.17001213428368,1.14954264015355,0.829572867581277,0.743393804133842,0.737181999909592,0.764730081332557,0.696124820631883,0.709856401591637,0.717905698778824,0.692043891931515,0.697337778109617,0.716967703583072,0.681935339801167,0.693340316099138,0.914482306981276,0.874464455374058,0.829943258219927,0.844725355527866
"Cluster 13",0.933153038228218,0.866794671213159,0.859587431726795,0.968126602000582,0.955080193242892,0.747565560895318,0.76688022702996,0.727545133035287,0.822120875934952,0.861770786369393,0.833123198208589,0.727709583062695,0.963688435608834,0.759467394138187,0.657934953471573,0.611564642651006,1.26280112575424,0.918210742755106,0.860532591814608,0.837569323029318,0.758766681847987,0.566199943961648,0.695531410663519,0.668466539976461,0.763523915202013,0.593541217339155,0.654300420541194,0.600462272274241,0.503932421106318,0.500762674013773,0.499405906970141,0.50972251720677
"Cluster 14",0.613174170792077,0.63036210710575,0.565391762230445,0.56928684374817,0.63087061466658,0.614723478930535,0.530093998023914,0.512822675793945,0.572037457411649,0.619247352907953,0.607249914312701,0.534655671340266,0.628166596516742,0.54589885793586,0.585187474851622,0.536762342231593,0.854781674421608,0.688766051813163,0.62234688750981,0.674234721602714,0.865695290309537,0.581738731566962,0.682826757774603,0.685523273664722,1.01033927860326,0.82179853058458,1.0713593847556,1.05677901984945,0.679336404586636,0.610004530335235,0.62307419566054,0.680833039384357
"Cluster 15",0.960559469772775,0.919382911913363,0.839429375321435,0.823363198490867,0.811733950245373,0.776784873544199,0.789322234995727,0.85042671597399,0.826683351939366,1.25593412165747,0.987131875349758,0.864145878612121,0.988431930276939,0.822925313979489,0.851875321723387,1.01807142600189,0.737279973413862,0.913079531053916,0.836004512156946,0.87198371308074,0.824933453718649,0.801617507418884,0.867816257109771,0.937683340556997,0.744352990416378,0.700570171179152,0.955757003348312,0.72284750289703,1.23477138826861,1.44742940659939,1.22148408963022,1.35647353183875
"Cluster 16",1.15811655798431,1.14325315214524,1.14382778849522,1.158279099686,1.21211201224558,1.20965621077045,1.17743382166763,1.17651587699514,0.996275184523664,0.968860536764161,0.968971102956198,0.981563027940733,0.940575795976181,0.980137926324745,0.97827271455211,0.95322336553601,1.10593005352657,1.03473763410789,1.03951285598444,1.07853549278202,1.09179713734061,0.974366312958624,1.01268279414867,1.06924242055771,1.12450846271262,1.11190902746518,1.06972776664191,1.09253455771783,0.922993828502298,0.879831351902188,0.904150503447338,0.896388973713035
"Cluster 17",2.32418431548772,1.68734665765077,1.95585280163661,2.29840934945747,2.63878314140642,1.06496325300317,1.14871985620433,1.15000047858927,2.14521508902669,0.684965821102242,0.766863129526917,0.623098963596637,1.25558237852855,1.1487557480272,0.873125500534865,0.618005266152837,1.50109519216812,0.54814218198142,0.554350913955753,0.581378402460226,0.544883060121285,0.582646268455072,0.599518133497324,0.544149858423556,0.77992181685126,0.749515728590159,0.691508163129589,0.529189205208872,0.731257027959143,0.548587205738244,0.519515453665227,0.54641199436034
"Cluster 18",0.786091985684735,0.734513992807339,0.775214891869928,0.777931806990795,0.71616031644306,0.650823168096177,0.656594611498291,0.649989963278651,0.706294882929776,0.683620937942627,0.650933247638769,0.660787368799229,0.687522086195812,0.678357296367379,0.638833499433193,0.692024822620333,0.731164137673179,0.698832336747289,0.683386359751262,0.702194431853897,0.961277575673268,0.813769194827692,0.887798136754445,0.872892479934632,0.854499575432325,0.828876804760173,0.777830944455914,0.853302274931932,0.800542883890655,0.757826726815272,0.746770571187866,0.740484044039161
"Cluster 19",1.04587953575198,0.985898617028628,0.89994953436628,1.09370461749005,0.999110757424028,0.664877063075774,0.632646740936239,0.963795600276122,1.09462510516342,0.685305335233776,0.756229406657788,0.812182242243659,1.01691857052622,0.977289736219729,1.00295135649591,0.629139306267921,0.894179826229797,0.596677165062646,0.636804229533085,0.618797180094457,0.68563081653946,0.917906801045625,0.651007298007237,0.914761965273156,1.07048796039294,1.07938946232695,1.00281334683967,0.823320879713797,1.31738270141338,1.32681996387113,0.924193766996481,1.40528671869645
"Cluster 20",2.32764964634045,2.33696581232298,2.34943774687766,2.34776789191005,2.6754976944777,2.60476270470777,2.62964204466291,2.63925760440016,1.98453619730908,2.13013689652826,1.99971782271708,2.14164408520276,1.9348262803523,1.99944688844973,2.01279861919867,1.95551243072056,2.39140512905171,2.49337887824318,2.35818182671834,2.56988480558206,2.54373436138905,2.61197830127997,2.40363432182007,2.55215143826549,2.4303275986837,2.51975714774329,2.67495562667706,2.49345663600842,2.19703710239162,2.10647936429116,2.28018518188728,2.10609074347297
